topology,seed,scenario,mode,steps,J_initial,D_initial,J_after_update_1,J_final,D_after_update_1,D_final,stress_final,J_mean,D_mean,stress_mean,movement_total,max_abs_x,max_abs_v
ring,4,partial,standard,2100,0.06968907841562652,0.0005930257406951897,1.1572121344827835,4.581065781426579,0.13004885776277578,1.5869791471166967,0.35164457783080777,4.576968006717964,1.6249771750704036,0.35126720869471345,473.123983481525,1.0,0.12
ring,4,partial,gated,2100,0.06968907841562652,0.0005930257406951897,0.873599371246233,4.061841641613167,0.09081558667708194,1.7569459458037968,0.3534991535662871,4.047186940146117,1.7591108001264413,0.353495927490781,310.46979075742036,1.0,0.12
ring,5,zero,standard,2100,0.07165394160432657,0.0009566742769920872,1.269461744772763,1.5474590074409647,0.1569897289694823,0.2756065908033992,0.0,1.5901296458689613,0.28017904987697756,0.0,603.398456388203,0.2488405180520992,0.12
ring,5,zero,gated,2100,0.07165394160432657,0.0009566742769920872,0.04987951836207586,2.562089768570324e-297,0.0004669020837323371,0.0,0.0,7.56567985120466e-05,4.1837028458121096e-07,0.0,0.07190018676865849,0.01732852802859028,0.006979183841487523
ring,5,partial,standard,2100,0.07165394160432657,0.0009566742769920872,1.2018143296045998,4.148446026951282,0.10336779903677731,1.8226728587137313,0.3529556316733385,4.161815619033105,1.7101037252438471,0.3531553568407813,564.565993031764,1.0,0.12
ring,5,partial,gated,2100,0.07165394160432657,0.0009566742769920872,0.8286979326593127,3.861507663749445,0.06444956040112887,1.6208133545121526,0.3526264535271893,3.8334198927500958,1.5742675073528236,0.3532327963043303,381.40873932886177,1.0,0.12
ring,6,zero,standard,2100,0.10268073995133002,0.0014834343273754695,1.2846989040203873,1.4898855771171098,0.16053847300977164,0.26568907157461374,0.0,1.5736465272875872,0.27269064970547213,0.0,581.9521286103875,0.26422604443185893,0.12
ring,6,zero,gated,2100,0.10268073995133002,0.0014834343273754695,0.07154336383133991,1.1221068768763295e-297,0.0007225896780810317,0.0,0.0,0.00011259023823460533,6.577971595470736e-07,0.0,0.1026842858304397,0.017496420990528002,0.007371385525750649
ring,6,partial,standard,2100,0.10268073995133002,0.0014834343273754695,1.1763729213353058,4.29816044081514,0.12092351826619446,1.5888234243340138,0.35340686837989616,4.333074560269039,1.6264284032845375,0.35292497018349217,387.82323545721397,1.0,0.12
ring,6,partial,gated,2100,0.10268073995133002,0.0014834343273754695,0.79548750151169,3.8704797144758776,0.055542916747328655,1.624830192217489,0.35251853081504875,3.841686347604799,1.5767131528836065,0.3531328292318978,379.56824668189154,1.0,0.12
ring,7,zero,standard,2100,0.06761559336334363,0.0008284959560554987,1.1955388939708975,1.5462467188442757,0.1438195012540783,0.275658914205687,0.0,1.5814015919781546,0.27724110221565545,0.0,635.2795839604411,0.2534816403925831,0.12
ring,7,zero,gated,2100,0.06761559336334363,0.0008284959560554987,0.04759437386397653,7.758044227729049e-298,0.000401944068580669,0.0,0.0,7.343830455400416e-05,3.510834338624784e-07,0.0,0.06976542089531676,0.01216807445337114,0.005379168610083068
ring,7,partial,standard,2100,0.06761559336334363,0.0008284959560554987,1.175162230116667,4.148748548626218,0.11406853443484606,1.6256128909958185,0.3538065633325958,4.191064147929659,1.6981668472835705,0.3534022088914869,566.654005623481,1.0,0.12
ring,7,partial,gated,2100,0.06761559336334363,0.0008284959560554987,0.8729028978325333,3.8097511114683726,0.07303105572211764,1.5361161259383769,0.35376456727104083,3.8308372266203894,1.5732935439777942,0.3532641312643842,377.5270486849972,1.0,0.12
ring,8,zero,standard,2100,0.14925774357580515,0.002607961830332037,1.2692533824401036,1.83812284148055,0.16322877361595686,0.33786955803725305,0.0,1.8382449954253754,0.3379668556925515,0.0,55.51310433069938,0.2592772155253905,0.12
ring,8,zero,gated,2100,0.14925774357580515,0.002607961830332037,0.10632786522338283,3.7433125255113065e-297,0.0012935981520608036,0.0,0.0,0.0001505703563915964,1.092968550306715e-06,0.0,0.14928718898100282,0.017244740376480897,0.007140800522469554
ring,8,partial,standard,2100,0.14925774357580515,0.002607961830332037,1.134429078490979,4.458273543514915,0.08904000574759338,1.6501595484623852,0.3527288034064345,4.452982823668816,1.6468320056633794,0.3527968384485306,9.314874477568951,1.0,0.12
ring,8,partial,gated,2100,0.14925774357580515,0.002607961830332037,0.7819655284233952,3.9232993213464105,0.029758431585227327,1.5916662867587452,0.35301972330514136,3.918424896252891,1.5880940176046625,0.3530845770613462,8.30960681655158,1.0,0.12
ring,9,zero,standard,2100,0.05175929709599135,0.0002048537643446379,1.197363472201567,1.6143542407105143,0.13972841280373555,0.282616731427788,0.0,1.590250165510493,0.2801577185018419,0.0,604.4024317465954,0.24210318406217565,0.12
ring,9,zero,gated,2100,0.05175929709599135,0.0002048537643446379,0.04142571098214982,5.483757701046713e-297,9.845526596121858e-05,0.0,0.0,7.4042019199248e-05,8.840113366465016e-08,0.0,0.05449965792944894,0.011099161618956414,0.004074150169000306
ring,9,partial,standard,2100,0.05175929709599135,0.0002048537643446379,1.2125428885921883,4.458273543514914,0.1230188908075419,1.6501595484623854,0.3527288034064345,4.453178426197425,1.6471520208827253,0.35279490166173594,11.485204175546496,1.0,0.12
ring,9,partial,gated,2100,0.05175929709599135,0.0002048537643446379,0.8356927061933253,4.031804166955224,0.08204143878083052,1.7824868504980365,0.3534922052819803,4.0478908820573425,1.7586631788567106,0.35348891590373654,291.4806956018048,1.0,0.12
star,0,zero,standard,2100,0.0984393958722368,0.000935242200500284,1.184319908662448,1.992821402832762,0.12134912613816147,0.12965431552824308,0.0,2.0897315875613107,0.12980629418082199,0.0,182.78549600662507,0.2848054071373374,0.12
star,0,zero,gated,2100,0.0984393958722368,0.000935242200500284,0.07173956683581356,7.801048486617235e-297,0.00045363396037016165,0.0,0.0,0.00012003654271792462,3.984748155812467e-07,0.0,0.100577313523458,0.016385967268289746,0.006022964723724834
star,0,partial,standard,2100,0.0984393958722368,0.000935242200500284,1.184319908662448,5.051217177384244,0.12134912613816147,1.6159360220196655,0.35,5.045110891249348,1.6122525352172945,0.3500427986637372,9.3514171917948,1.0,0.12
star,0,partial,gated,2100,0.0984393958722368,0.000935242200500284,0.7531248560463093,5.051217177384235,0.06845841875983535,1.6159360220196717,0.34999999999999987,5.043658594547182,1.6123966945145474,0.3500463429831404,14.340631583353973,1.0,0.12
star,1,zero,standard,2100,0.10078616614583996,0.001418239361307898,1.224334884622429,1.7047793767302548,0.0909837687057445,0.12965431552824308,0.0,2.089929771410673,0.12971612360487475,0.0,676.8648409746205,0.3060874924811847,0.12
star,1,zero,gated,2100,0.10078616614583996,0.001418239361307898,0.07044578731886915,1.0075614051667744e-297,0.0006920432241742402,0.0,0.0,0.0001039545217320682,6.093999541781306e-07,0.0,0.10078660070581323,0.016230212561082796,0.006785174407720033
