parameter,value,scenario,mode,steps,seed,J_initial,D_initial,J_after_update_1,J_final,D_after_update_1,D_final,stress_final,J_mean,D_mean,stress_mean,movement_total,max_abs_x,max_abs_v
w_s,0.25,zero,standard,300,42,0.0663266915454487,0.00047046694521315666,0.8803484674690544,0.8755083397267638,0.0832644166885412,0.06949459079654371,0.0,0.8558147574046473,0.06968730615737839,0.0,41.31278909526604,0.13205904389322487,0.0981171309651856
w_s,0.25,zero,gated,300,42,0.0663266915454487,0.00047046694521315666,0.047291712079763154,2.8339297588428143e-44,0.0002301366080741249,2.863019230302155e-94,0.0,0.0005531685078392872,1.5363314385140212e-06,0.0,0.06633190086032834,0.011487456086003142,0.0043046720690707715
w_s,0.25,full,standard,100,42,0.0,0.0,1.2000000000000002,5.770099067351835,7.703719777548943e-33,1.1366598535778607,0.4239820783411209,5.725470893712246,1.070965002393427,0.423883911776303,37.04279589111845,1.0,0.12
w_s,0.25,full,gated,100,42,0.0,0.0,1.2000000000000002,5.770099067351835,7.703719777548943e-33,1.1366598535778607,0.4239820783411209,5.725470893712246,1.070965002393427,0.423883911776303,37.04279589111845,1.0,0.12
w_s,0.25,partial,standard,200,42,0.0,0.0,0.6,3.91535295365651,0.036,1.4201012460220772,0.35275737235580823,3.7863540833964553,1.5077062043487615,0.35479983242191304,72.35082051516295,1.0,0.12
w_s,0.25,partial,gated,200,42,0.0,0.0,0.6,3.5389739294960822,0.036,1.4792211736910277,0.3546071399110649,3.5229590611882924,1.4775501761515728,0.3546475058221531,66.99752662747379,1.0,0.12
w_s,0.5,zero,standard,300,42,0.0663266915454487,0.00047046694521315666,1.1830720264299417,1.6585168912198223,0.1448492691026211,0.29686440925112734,0.0,1.6958012857869824,0.2995770058859289,0.0,71.20642549729726,0.24542560043585965,0.12
w_s,0.5,zero,gated,300,42,0.0663266915454487,0.00047046694521315666,0.047291712079763154,2.8339297588428143e-44,0.0002301366080741249,2.863019230302155e-94,0.0,0.0005531685078392872,1.5363314385140212e-06,0.0,0.06633190086032834,0.011487456086003142,0.0043046720690707715
w_s,0.5,full,standard,100,42,0.0,0.0,1.2000000000000002,5.758079908675757,7.703719777548943e-33,1.2754843240449871,0.42519188267697017,5.608103561848618,1.2139376508952906,0.4270416328446629,21.06649029571417,1.0,0.12
w_s,0.5,full,gated,100,42,0.0,0.0,1.2000000000000002,5.758079908675757,7.703719777548943e-33,1.2754843240449871,0.42519188267697017,5.608103561848618,1.2139376508952906,0.4270416328446629,21.06649029571417,1.0,0.12
w_s,0.5,partial,standard,200,42,0.0,0.0,0.6,4.4892373169743545,0.036,1.9936969200245325,0.351581744260318,4.4299208473234275,1.9036946088489781,0.35279905045601767,52.22468604210211,1.0,0.12
w_s,0.5,partial,gated,200,42,0.0,0.0,0.6,3.7844135498750675,0.036,1.770436247908911,0.35305259719550036,3.7525394697674512,1.7479642969451876,0.3533817102559763,52.06520421167531,1.0,0.12
w_s,0.75,zero,standard,300,42,0.0663266915454487,0.00047046694521315666,1.20793312639286,2.3371562456387025,0.14841413528653996,0.6028401268615332,0.0,2.167368985686061,0.564775656408646,0.0,122.44786996672332,0.3627611353669653,0.12
w_s,0.75,zero,gated,300,42,0.0663266915454487,0.00047046694521315666,0.047291712079763154,2.8339297588428143e-44,0.0002301366080741249,2.863019230302155e-94,0.0,0.0005531685078392872,1.5363314385140212e-06,0.0,0.06633190086032834,0.011487456086003142,0.0043046720690707715
w_s,0.75,full,standard,100,42,0.0,0.0,1.2000000000000002,5.6844191878449655,7.703719777548943e-33,1.6850290778787596,0.42882691788057403,5.60383218107726,1.5609763021387784,0.4296690363006984,27.113269865080674,1.0,0.12
w_s,0.75,full,gated,100,42,0.0,0.0,1.2000000000000002,5.6844191878449655,7.703719777548943e-33,1.6850290778787596,0.42882691788057403,5.60383218107726,1.5609763021387784,0.4296690363006984,27.113269865080674,1.0,0.12
w_s,0.75,partial,standard,200,42,0.0,0.0,0.6,4.589979202371105,0.036,2.0058865738672336,0.3589715835075285,4.647328201894138,1.924721763233108,0.35756480016969233,55.93717834961376,1.0,0.12
w_s,0.75,partial,gated,200,42,0.0,0.0,0.6,3.7880853859597696,0.036,1.5999187181946122,0.3562510293191144,3.6407718392644393,1.5879910765647804,0.3582186453302475,40.23924849142566,1.0,0.12
beta_rest,0.1,zero,standard,300,42,0.0663266915454487,0.00047046694521315666,1.1830720264299417,1.6585168912198223,0.1448492691026211,0.29686440925112734,0.0,1.6958012857869824,0.2995770058859289,0.0,71.20642549729726,0.24542560043585965,0.12
beta_rest,0.1,zero,gated,300,42,0.0663266915454487,0.00047046694521315666,0.05680920181260593,1.2013244199670054e-17,0.0003396709483035815,6.0368003213717896e-46,0.0,0.0014155553163359242,4.10744055768168e-06,0.0,0.06754297020498923,0.013639792120538528,0.0021523360345353858
